run_id,run_name,hidden_dim,learning_rate,min_lr_ratio,adam_lr,num_layers,loss,optimizer_name,warmup
exp1570_hidden1024-mup-muonh-decay-to-0-lr5.00e-3-861134,exp1570_hidden1024-mup-muonh-decay-to-0-lr5.00e-3-861134,1024.0,0.005,0.0,0.005,4.0,3.634533405303955,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-lr5.00e-3-2592f6,exp1570_hidden128-mup-muonh-decay-to-0-lr5.00e-3-2592f6,128.0,0.005,0.0,0.005,4.0,4.540451526641846,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-lr2.50e-3-abac5e,exp1570_hidden1024-mup-muonh-decay-to-0-lr2.50e-3-abac5e,1024.0,0.0025,0.0,0.0025,4.0,3.667062520980835,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-lr7.07e-3-5aca25,exp1570_hidden128-mup-muonh-decay-to-0-lr7.07e-3-5aca25,128.0,0.007071067811865476,0.0,0.007071067811865476,4.0,4.535901069641113,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-lr2.50e-3-7a9cd9,exp1570_hidden128-mup-muonh-decay-to-0-lr2.50e-3-7a9cd9,128.0,0.0025,0.0,0.0025,4.0,4.561366081237793,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-lr1.00e-2-c975d4,exp1570_hidden128-mup-muonh-decay-to-0-lr1.00e-2-c975d4,128.0,0.01,0.0,0.01,4.0,4.531156539916992,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr2.50e-3-11f7a8,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr2.50e-3-11f7a8,128.0,0.0025,0.0,0.0025,4.0,4.561366081237793,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-lr3.54e-3-1b16f3,exp1570_hidden128-mup-muonh-decay-to-0-lr3.54e-3-1b16f3,128.0,0.003535533905932738,0.0,0.003535533905932738,4.0,4.547894477844238,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr7.07e-3-fbd23b,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr7.07e-3-fbd23b,1024.0,0.007071067811865476,0.0,0.007071067811865476,4.0,3.6327271461486816,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr5.00e-3-559a62,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr5.00e-3-559a62,128.0,0.005,0.0,0.005,4.0,4.540451526641846,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-lr1.00e-2-d95171,exp1570_hidden1024-mup-muonh-decay-to-0-lr1.00e-2-d95171,1024.0,0.01,0.0,0.01,4.0,3.636646032333374,muonh,0.0
exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr7.07e-3-b8fba6,exp1570_hidden128-mup-muonh-decay-to-0-without-mup-lr7.07e-3-b8fba6,128.0,0.007071067811865476,0.0,0.007071067811865476,4.0,4.535901069641113,muonh,0.0
exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr3.54e-3-f97317,exp1570_hidden1024-mup-muonh-decay-to-0-without-mup-lr3.54e-3-f97317,1024.0,0.003535533905932738,0.0,0.003535533905932738,4.0,3.6486759185791016,muonh,0.0
