run_id,run_name,learning_rate,loss,optimizer_name,num_train_steps,num_tokens
muon-lr7.07e-3-2B-b00dfd,muon-lr7.07e-3-2B-b00dfd,0.007071067811865476,3.549245834350586,muon,3814.697265625,2000000000.0
muon-lr5.00e-3-6B-9eb5ff,muon-lr5.00e-3-6B-9eb5ff,0.005,3.373483419418335,muon,11444.091796875,6000000000.0
muon-lr2.00e-2-12B-b85ab6,muon-lr2.00e-2-12B-b85ab6,0.02,3.310612916946411,muon,22888.18359375,12000000000.0
muonh-lr1.00e-2-2B-0bff0c,muonh-lr1.00e-2-2B-0bff0c,0.01,3.5244460105895996,muonh,3814.697265625,2000000000.0
muonh-lr5.00e-3-4B-505ebf,muonh-lr5.00e-3-4B-505ebf,0.005,3.4670932292938232,muonh,7629.39453125,4000000000.0
muonh-lr5.00e-3-2B-fc4961,muonh-lr5.00e-3-2B-fc4961,0.005,3.6351940631866455,muonh,3814.697265625,2000000000.0
muon-lr7.07e-3-1B-990aa5,muon-lr7.07e-3-1B-990aa5,0.007071067811865476,3.743701457977295,muon,1907.3486328125,1000000000.0
muonh-lr1.00e-2-8B-ae8679,muonh-lr1.00e-2-8B-ae8679,0.01,3.3112552165985107,muonh,15258.7890625,8000000000.0
muonh-lr1.00e-2-1B-1f7846,muonh-lr1.00e-2-1B-1f7846,0.01,3.7011873722076416,muonh,1907.3486328125,1000000000.0
muonh-lr2.00e-2-1B-d42399,muonh-lr2.00e-2-1B-d42399,0.02,3.6621131896972656,muonh,1907.3486328125,1000000000.0
muonh-lr2.00e-2-6B-6c690d,muonh-lr2.00e-2-6B-6c690d,0.02,3.3724822998046875,muonh,11444.091796875,6000000000.0
muon-lr5.00e-3-2B-d4d16c,muon-lr5.00e-3-2B-d4d16c,0.005,3.5867953300476074,muon,3814.697265625,2000000000.0
muon-lr1.00e-2-2B-84a8de,muon-lr1.00e-2-2B-84a8de,0.01,3.5266048908233643,muon,3814.697265625,2000000000.0
muon-lr1.41e-2-12B-5b3296,muon-lr1.41e-2-12B-5b3296,0.014142135623730952,3.2875382900238037,muon,22888.18359375,12000000000.0
muon-lr2.00e-2-6B-1021b0,muon-lr2.00e-2-6B-1021b0,0.02,3.369689702987671,muon,11444.091796875,6000000000.0
